Список государственных ведомств,,,,,
Ведомство,Департамент,Должность,Имя,Начало работы,Конец работы
,Департамент организации составления и исполнения федерального бюджета,Директор департамента (и.о.),Кузнецова Янина Игоревна,02.05.2024,
,Департамент международных финансовых отношений,Директор департамента,Снисоренко Павел Валериевич,2020 г.,
,Департамент контроля за внешними ограничениями,Директор департамента (и.о.),Аверинова Евгения Николаевна,2025 г.,
,Департамент контроля за внешними ограничениями,Директор департамента,Тимофеев Дмитрий Вячеславович,февраль 2019 г.,2025 г.
,"Департамент бюджетной политики в сфере промышленности, агропромышленного комплекса, цифровой экономики и связи",Директор департамента (и.о.),Осолодков Андрей Евгеньевич,2024 г.,
,Департамент проектного финансирования и инвестиционной политики,Директор департамента,Воробьева Валерия Алексеевна,2017 г.,2019 г.
,Департамент информационных технологий в сфере управления государственными и муниципальными финансами и информационного обеспечения бюджетного процесса,Директор департамента,Громова Елена Александровна,2020 г.,
,Департамент государственного регулирования отрасли драгоценных металлов и драгоценных камней,Директор департамента,Гончаренко Юлия Александровна,2020 г.,
,Департамент доходов,Директор департамента,Лебединская Елена Викторовна,11.05.2016,
,Департамент бюджетной политики в сфере контрактной системы,Директор департамента,Демидова Татьяна Павловна,20.04.2017,
,Департамент развития персонала,Директор департамента (и.о.),Олейник Алла Юрьевна,?,
,Департамент программно-целевого планирования и проектного управления,Директор департамента,Бегчин Николай Аркадьевич,25.04.2019,2025 г.
,Департамент программно-целевого планирования и проектного управления,Директор департамента (и.о.),Раковский Иван Дмитриевич,2025 г.,
,Департамент таможенной политики и регулирования алкогольного и табачного рынков,Директор департамента,Золкин Никита Андреевич,18.03.2020,
,Департамент регулирования имущественных отношений,Директор департамента,Воронцов Андрей Николаевич,27.03.2020,
,Департамент анализа эффективности преференциальных налоговых режимов,Директор департамента,Борисов Денис Валерьевич,09.07.2020,
,"Департамента международных финансовых отношений, государственного долга и государственных финансовых активов",Директор департамента,Панкин Дмитрий Владимирович,ноябрь 2005 г.,?
,Департамент долгосрочного стратегического планирования,Директор департамента,Орешкин Максим Станиславович,сентябрь 2013 г.,3 мая 2015 г.
,Департамент долгосрочного стратегического планирования,Директор департамента,Колычев Владимир Владимирович,2015 г.,2017 г.
,Департамента налоговой и таможенно-тарифной политики,Директор департамента,Трунин Илья Вячеславович,2006 г.,2009 г.
,Департамента бюджетной политики в отраслях экономики,Директор департамента,Окладникова Ирина Андреевна,2018 г.,2020 г.
,,,,,
"Министерство промышленности, науки и технологий РФ",,"Министр промышленности, науки и технологий РФ",Дондуков Александр Николаевич,17 мая 2000,17 октября 2001
,,"Министр промышленности, науки и технологий РФ",Клебанов Илья Иосифович,17 октября 2001,1 ноября 2003
,,"Министр промышленности, науки и технологий РФ (и.о.)",Фурсенко Андрей Александрович,1 ноября 2003,9 марта 2004
,,Первый заместитель министра,Кирпичников Михаил Петрович,июнь 2000 г.,март 2004 г.
,,Первый заместитель министра,Свинаренко Андрей Геннадьевич,июнь 2000 г.,2004 г.
,,Заместитель министра,Сафронов Леонид Константинович,сентябрь 2000 г.,ноябрь 2001 г.
